DC10_LMCS_CA,TD,VS,M0_3_TE,RN_QCFLG,HM,TM,TS,STN_ID,M0_05_TE,ICSR_QCFLG,CLFM_ABBR_CD,M0_2_TE,TA,WS,RNUM,STN_NM,LCS_CH,SS_QCFLG,PV,DC10_TCA,WD,PS,M0_1_TE,PA,SS,ICSR,DMST_MTPH_NO,RN
8,22.0,3583,24.1,9,94,2022-06-26 00:00,24.3,159,23.4,9,Sc,23.7,23.1,5.6,1,부산,3.0,9,26.4,8,200,1009.4,23.9,1001.5,,,,
8,21.9,3583,24.0,,94,2022-06-26 01:00,24.5,159,23.4,9,,23.6,23.0,3.2,2,부산,3.0,9,26.3,8,200,1009.2,23.8,1001.3,,,,
8,21.9,2365,24.0,,94,2022-06-26 02:00,24.5,159,23.5,9,,23.5,23.0,3.9,3,부산,3.0,9,26.3,8,200,1009.2,23.7,1001.3,,,,
8,21.8,3595,23.9,,93,2022-06-26 03:00,24.3,159,23.4,9,Sc,23.4,23.1,2.9,4,부산,3.0,9,26.1,8,200,1008.9,23.6,1001.0,,,,
7,22.0,2904,23.9,,96,2022-06-26 04:00,23.8,159,23.1,9,Sc,23.4,22.7,5.4,5,부산,2.0,9,26.4,7,230,1008.8,23.6,1000.9,,,,
7,22.5,2691,23.9,,98,2022-06-26 05:00,24.3,159,23.2,9,Sc,23.3,22.9,5.4,6,부산,2.0,9,27.2,7,250,1009.2,23.5,1001.3,,,,
6,22.1,2016,23.8,,97,2022-06-26 06:00,24.6,159,23.3,,Sc,23.3,22.7,4.6,7,부산,2.0,,26.6,6,200,1010.4,23.4,1002.4,0.0,0.07,,
9,22.4,801,23.8,,100,2022-06-26 07:00,24.4,159,23.3,,ScAs,23.2,22.5,5.0,8,부산,2.0,,27.1,10,200,1010.4,23.4,1002.4,0.0,0.08,19,
7,22.8,1862,23.8,,100,2022-06-26 08:00,25.0,159,23.5,,ScAs,23.2,22.9,5.3,9,부산,1.0,,27.7,10,200,1011.3,23.4,1003.3,0.0,0.11,1902,0.0
6,23.6,5000,23.9,,98,2022-06-26 09:00,27.9,159,24.3,,ScAs,23.2,24.0,5.6,10,부산,2.0,,29.1,10,200,1011.7,23.5,1003.8,0.0,0.61,02,0.0
7,23.6,5000,23.8,9,93,2022-06-26 10:00,30.7,159,25.5,,Sc,23.2,24.9,4.8,11,부산,2.0,,29.1,7,200,1011.9,23.8,1004.0,0.0,1.28,,
9,23.1,4017,23.8,9,93,2022-06-26 11:00,29.7,159,26.3,,Sc,23.3,24.4,4.8,12,부산,2.0,,28.3,9,180,1012.2,24.4,1004.3,0.2,1.66,,
9,23.6,5000,23.7,9,93,2022-06-26 12:00,30.1,159,26.4,,Sc,23.5,24.9,6.5,13,부산,2.0,,29.1,9,200,1012.5,24.7,1004.5,0.0,1.23,,
7,23.7,3626,23.7,9,94,2022-06-26 13:00,29.4,159,26.2,,Sc,23.6,24.8,6.7,14,부산,2.0,,29.3,7,230,1012.6,24.8,1004.7,0.0,1.01,,
9,23.8,3264,23.7,9,92,2022-06-26 14:00,30.8,159,26.6,,Sc,23.7,25.2,5.5,15,부산,2.0,,29.5,9,200,1012.5,24.9,1004.6,0.0,1.16,,
9,23.6,2817,23.9,9,97,2022-06-26 15:00,28.3,159,26.0,,Sc,23.8,24.2,5.5,16,부산,2.0,,29.1,9,230,1012.5,25.1,1004.6,0.0,0.63,,
9,23.4,2164,23.8,9,97,2022-06-26 16:00,26.9,159,25.3,,Sc,23.8,24.0,5.9,17,부산,2.0,,28.8,9,230,1012.0,25.0,1004.1,0.0,0.33,,
8,23.6,3740,23.9,9,97,2022-06-26 17:00,26.8,159,25.1,,Sc,23.9,24.2,6.2,18,부산,2.0,,29.1,8,200,1011.7,24.8,1003.8,0.0,0.33,,
9,23.7,4292,24.0,9,98,2022-06-26 18:00,26.4,159,25.0,,Sc,23.9,24.1,6.3,19,부산,2.0,,29.3,9,230,1011.8,24.7,1003.9,0.0,0.23,,
7,23.9,3828,23.9,9,99,2022-06-26 19:00,26.0,159,24.7,,,23.8,24.1,7.8,20,부산,1.0,,29.7,7,200,1011.7,24.6,1003.8,0.0,0.07,,
5,24.0,4126,24.0,9,99,2022-06-26 20:00,25.8,159,24.5,,,23.8,24.2,7.0,21,부산,1.0,,29.8,5,230,1012.0,24.4,1004.1,0.0,0.03,,
2,24.3,5000,24.0,,99,2022-06-26 21:00,25.7,159,24.4,9,ScAs,23.8,24.5,7.0,22,부산,1.0,9,30.4,10,230,1012.8,24.3,1004.9,,,01,0.0
8,24.2,1886,24.0,,100,2022-06-26 22:00,25.8,159,24.4,9,ScAs,23.7,24.3,6.9,23,부산,2.0,9,30.2,10,230,1013.5,24.3,1005.6,,,01,0.0
9,24.0,2719,24.0,9,100,2022-06-26 23:00,25.7,159,24.4,9,,23.7,24.1,5.7,24,부산,,9,29.8,9,230,1013.4,24.2,1005.5,,,,
