dataTime,93_72,93_73,93_71,93_74,93_75,93_78,93_77,93_76,93_79,93_80,94_71,94_72,94_73,94_74,94_75,94_76,94_77,94_78,94_79,94_80,95_71,95_72,95_73,95_74,95_75,95_76,95_77,95_78,95_79,95_80,96_71,96_72,96_73,96_74,96_75,96_76,96_77,96_78,96_79,96_80,97_71,97_72,97_73,97_74,97_75,97_76,97_77,97_78,97_79,97_80,98_71,98_72,98_73,98_74,98_75,98_76,98_77,98_79,98_78,99_75,99_71,99_72,99_73,98_80,99_74,99_77,99_76,99_78,99_79,99_80,100_71,100_72,100_73,100_74,100_75,100_76,100_77,100_78,100_79,100_80,101_71,101_72,101_73,101_74,101_75,101_76,101_77,101_78,101_79,101_80,102_71,102_72,102_73,102_74,102_75,102_76,102_77,102_78,102_79,102_80
2022042115,0,1,,1,1,0,1,1,1,1,,0,0,1,1,1,1,1,0,1,,,1,1,1,1,1,1,1,0,,,1,1,1,1,1,1,1,1,,,1,1,1,0,0,1,1,0,,,1,1,1,1,1,1,1,0,,,,1,1,1,0,1,1,1,,,,,0,0,0,0,0,1,,,,,,0,0,0,0,1,,,,,,,,,1,1
2022042116,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042117,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042118,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042119,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042120,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042121,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042122,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042123,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042124,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042201,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042202,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042203,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042204,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042205,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042206,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042207,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042208,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042209,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042210,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
2022042211,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,0,0
